id;auditor_name;defect_count;defect_fix_count;inspection_date;remark;status;last_modified;last_modified_by
1;cyan Movies;3322;96783;2022-02-14T21:49:28;Mauritius SSL Ball;Internal Taiwan;2022-02-14T19:56:51;Operative
2;Senior tan;83517;1244;2022-02-14T20:54:47;open-source;envisioneer productize;2022-02-15T00:22:57;withdrawal Avon web
3;bypass synthesize;52963;3362;2022-02-15T05:44:00;infrastructures Multi-layered;Well Tasty;2022-02-14T14:08:49;Global
4;Buckinghamshire Borders;10290;23514;2022-02-14T23:43:03;motivating synthesizing data-warehouse;superstructure Utah Pound;2022-02-15T08:56:25;Leu Money
5;Optimization web-enabled Tasty;38018;26786;2022-02-15T03:45:53;International Wyoming;non-volatile Dollar iterate;2022-02-15T01:15:17;Albania back
6;sticky;37730;86691;2022-02-15T08:42:52;mission-critical;Beauty Pizza;2022-02-15T09:39:29;framework Orchestrator Pizza
7;benchmark COM Shoes;98194;67064;2022-02-15T10:10:57;synergy user-facing;Rhode granular;2022-02-14T17:41:02;utilize responsive system
8;Industrial Chair application;51806;83293;2022-02-14T16:44:23;brand Investor;Human;2022-02-15T03:59:50;Zimbabwe
9;Bahrain;54034;31062;2022-02-15T02:40:25;compressing;fuchsia Russian generating;2022-02-14T15:09:02;Romania synthesize Computers
10;Account Parks;51036;15434;2022-02-14T14:15:57;synthesizing synthesizing Avon;maroon;2022-02-14T18:56:50;maroon Somoni compress
