id;bed_count;occupied;on_cylinder;on_lmo;on_concentrators;last_modified;last_modified_by
1;70995;58848;33685;51283;99459;2022-02-14T12:32:34;mobile
2;96667;71959;54563;14055;93059;2022-02-14T13:54:25;blue
3;47491;98322;88102;50473;16313;2022-02-15T00:42:31;24/7 SSL Sports
4;68441;59801;27743;53609;29384;2022-02-15T01:46:39;Dynamic Colon
5;17489;92486;15967;75331;11984;2022-02-14T14:51:31;Kenya Senegal
6;87934;69922;11408;90817;801;2022-02-14T22:40:38;experiences Web context-sensitive
7;1984;67984;54824;42976;74781;2022-02-15T06:05:05;Future withdrawal Generic
8;85372;45989;77233;99979;42671;2022-02-14T19:40:07;Account connecting attitude-oriented
9;75851;21005;22007;5843;84770;2022-02-15T01:00:00;Cloned Advanced
10;92277;95528;25958;92741;49815;2022-02-14T16:55:07;Branding Fish
