id;occupied;on_cylinder;on_lmo;on_concentrators;last_modified;last_modified_by
1;5528;45125;27759;78767;2022-02-14T23:08:16;Cheese
2;53614;6304;48828;76778;2022-02-14T22:56:09;payment Squares SQL
3;76713;22501;77320;71218;2022-02-14T18:39:36;Account Sausages Industrial
4;35426;35674;34381;6402;2022-02-14T20:43:19;Sausages
5;48942;40865;20779;24176;2022-02-15T09:13:16;Triple-buffered Marketing compelling
6;78856;55836;13048;89641;2022-02-14T19:44:36;Savings responsive
7;51654;31347;31344;32602;2022-02-14T22:06:15;Assistant web-enabled
8;22758;16413;83095;13495;2022-02-15T08:43:25;strategy Belize
9;72011;35323;96080;74195;2022-02-15T06:25:36;alliance program
10;456;19658;75353;12388;2022-02-14T17:57:46;primary portal reboot
