id;name;per_day_ox;deleted;last_modified;last_modified_by
1;payment;36563;false;2022-02-14T14:10:39;Ruble withdrawal
2;generating dedicated;90003;false;2022-02-15T06:44:02;Avon Automotive
3;Chair;70067;true;2022-02-15T09:33:35;payment 24/7 transmit
4;Wisconsin Unbranded;3377;false;2022-02-14T19:21:45;Savings
5;initiative Operations;74497;true;2022-02-14T22:45:12;virtual PCI Bedfordshire
6;transition;52691;false;2022-02-14T14:20:05;Avon
7;Buckinghamshire XSS;69845;true;2022-02-14T14:30:29;e-services
8;International Investor;80260;true;2022-02-15T00:56:01;Universal solution-oriented Berkshire
9;throughput SAS ubiquitous;12618;true;2022-02-15T08:17:54;migration Borders
10;Ergonomic plum;45958;false;2022-02-15T00:09:28;overriding
