id;name;deleted;lgd_code;last_modified;last_modified_by
1;aggregate;true;92821;2022-02-15T05:54:35;generate
2;EXE;false;61734;2022-02-15T07:08:28;Fresh copying
3;Functionality;true;19040;2022-02-15T03:45:40;Investor Loan Global
4;Dinar content;false;94147;2022-02-14T23:00:47;circuit Lithuania
5;Director Unbranded Car;false;89783;2022-02-15T04:44:32;Corporate deposit Dinar
6;reboot;false;11389;2022-02-15T05:13:04;withdrawal primary
7;Assimilated;true;80873;2022-02-14T19:36:23;Computer
8;Division Wooden modular;true;97504;2022-02-14T12:11:31;override Florida leverage
9;Liaison;true;96482;2022-02-14T16:53:28;next withdrawal Brunei
10;Sheqel International;true;51283;2022-02-14T18:30:22;Fresh
