id;name;deleted;last_modified;last_modified_by
1;white;false;2022-02-14T19:09:15;object-oriented Isle
2;Algeria;false;2022-02-14T13:45:23;Associate mobile
3;quantify;true;2022-02-15T02:19:25;e-services SMTP
4;hack calculate Toys;false;2022-02-14T16:46:08;encoding
5;cultivate;true;2022-02-15T06:26:07;open-source Chair Auto
6;UIC-Franc cyan hack;false;2022-02-14T15:26:20;Soft Fresh
7;revolutionize online Music;true;2022-02-15T10:09:13;throughput
8;uniform;false;2022-02-14T23:58:07;Dakota parallelism
9;Lead Beauty;true;2022-02-15T00:09:48;Kids Buckinghamshire
10;transmitter;false;2022-02-14T16:08:47;deposit synthesize
