id;name;deleted;lgd_code;last_modified;last_modified_by
1;Executive Buckinghamshire plum;true;25550;2022-02-15T05:10:29;utilize Fresh cohesive
2;SCSI;true;70848;2022-02-14T12:06:43;copying Program
3;withdrawal cutting-edge;true;75096;2022-02-14T19:38:12;cyan Response
4;Expanded Computer Indiana;true;96025;2022-02-14T22:06:23;synthesize
5;Kwacha Frozen quantify;true;96016;2022-02-15T11:35:02;International
6;withdrawal Granite;false;5420;2022-02-15T00:39:26;Field Movies scale
7;Investment Steel Luxembourg;true;99911;2022-02-14T15:20:42;Total
8;mindshare Gorgeous;true;47979;2022-02-15T04:32:01;alarm Buckinghamshire
9;Analyst interactive Ridges;true;26685;2022-02-14T22:04:07;neural Implementation bandwidth
10;Kids;false;51770;2022-02-15T05:13:05;actuating
