id;name;deleted;lgd_code;last_modified;last_modified_by
1;Loaf;true;13858;2022-02-14T14:29:32;rich Legacy
2;Sausages;false;87875;2022-02-14T23:10:14;Berkshire productize Lempira
3;Savings;false;6509;2022-02-14T16:09:19;deposit Roads Groves
4;Refined;true;13765;2022-02-14T19:57:04;calculate Practical
5;Roads Omani Sausages;true;88728;2022-02-14T17:36:43;implement Grove
6;SMTP Quality;false;51274;2022-02-14T19:32:20;Corporate
7;TCP grey Concrete;false;7832;2022-02-15T03:18:35;Mongolia Account
8;cross-platform calculating;true;59518;2022-02-15T08:47:14;Avon
9;coherent utilize optical;true;2876;2022-02-14T22:31:06;Buckinghamshire architectures proactive
10;CSS Coordinator;true;81627;2022-02-14T17:48:07;Avon deliverables
