id;name;desciption;deleted;last_modified;last_modified_by
1;FTP bluetooth;Oregon Sleek;false;2022-02-14T23:32:24;Industrial port Connecticut
2;Loan;4th Divide Fresh;true;2022-02-14T23:09:23;supply-chains
3;evolve;Savings;true;2022-02-15T09:42:43;Officer networks
4;Direct Unit Home;facilitate Incredible Mongolia;true;2022-02-14T15:01:08;leverage quantify navigate
5;innovate;transition RSS;true;2022-02-15T07:09:31;Avon digital capacitor
6;Ridges quantify solutions;archive Product International;true;2022-02-14T23:19:57;Officer
7;Central Beauty;background Helena reinvent;true;2022-02-15T04:59:31;Kip
8;mobile Agent;visionary JBOD navigating;true;2022-02-14T23:25:45;quantify
9;asynchronous zero;portal Lake incremental;false;2022-02-14T13:13:30;Automotive array
10;application;Pants Checking Account;true;2022-02-14T15:25:03;leading turquoise
