id;total_samples_tested;total_negative;total_positive;current_previous_month_test;district_id;remarks;edited_on;updated_date;free_field_1;free_field_2
1;62718;97547;20134;70579;88963;Loan;2022-02-14T19:42:18;2022-02-15T06:19:48;Avon Omani Baby;Tennessee Street Islands
2;91627;96261;4267;3176;37713;District navigating Assistant;2022-02-15T07:25:52;2022-02-14T23:55:15;Cross-platform aggregate Lake;Jordanian deliver bypassing
3;45457;58530;96726;14846;91770;transitional;2022-02-14T21:46:36;2022-02-15T01:33:41;stable Producer dedicated;compressing
4;81000;12606;95351;64282;6868;quantifying Electronics;2022-02-14T12:04:29;2022-02-15T06:30:33;e-commerce Licensed;THX tan evolve
5;51720;53417;12851;76283;47061;Adaptive Rubber;2022-02-14T15:00:08;2022-02-15T10:05:21;JSON Islands asymmetric;Buckinghamshire
6;55860;27400;97250;55483;32686;invoice Granite;2022-02-14T14:01:52;2022-02-14T22:21:24;Kids Guam dot-com;Outdoors withdrawal Group
7;70241;96389;15037;37625;36721;Corporate;2022-02-14T22:50:34;2022-02-14T15:29:42;Chips Checking Music;Mariana Savings metrics
8;32304;18457;35700;69225;66198;architectures turn-key;2022-02-15T03:14:44;2022-02-15T01:40:34;Soft grey;Unbranded
9;72761;7334;47271;53325;26139;connecting USB;2022-02-14T17:43:38;2022-02-15T08:10:46;Peso;Granite gold global
10;80774;7515;20132;97714;37518;harness;2022-02-15T03:54:27;2022-02-14T22:18:43;Infrastructure functionalities well-modulated;Marketing auxiliary Cotton
