id;stock;capcity;installed_capcity;last_modified;last_modified_by
1;25090;85933;85231;2022-02-15T02:50:07;Coordinator
2;72478;3202;55680;2022-02-14T13:07:16;Account Ball Analyst
3;1691;74237;54941;2022-02-15T04:15:08;Kenya
4;87508;21019;20189;2022-02-15T04:29:57;Mountain Buckinghamshire
5;35825;66268;14677;2022-02-15T00:56:57;Hryvnia Home
6;67023;86224;90808;2022-02-14T15:17:30;Steel
7;45833;73773;27807;2022-02-15T03:55:33;Cambridgeshire Tuna Moldovan
8;46144;31017;42090;2022-02-14T16:30:08;Bedfordshire
9;77778;27897;69610;2022-02-15T10:08:39;e-services azure Berkshire
10;81950;38441;91172;2022-02-14T19:03:34;programming Inlet
