id;name;deleted;last_modified;last_modified_by
1;Loan;true;2022-02-14T19:44:22;Serbia tan
2;Books Granite;true;2022-02-14T16:45:05;Communications cross-media
3;Account;false;2022-02-15T10:32:48;synthesizing
4;Inverse;false;2022-02-15T09:34:54;Account
5;3rd Frozen Auto;false;2022-02-15T09:16:47;Glen SDR Colorado
6;Berkshire;false;2022-02-15T07:07:20;e-markets Keyboard
7;proactive;true;2022-02-14T12:13:22;transmit Up-sized
8;mobile;false;2022-02-15T10:06:09;Indian 24/365 Representative
9;Soft;false;2022-02-15T09:01:02;Brooks Plastic
10;Licensed neural parsing;false;2022-02-14T17:05:22;supply-chains Program SQL
