id;stock;capcity;comment;last_modified;last_modified_by
1;23742;30712;feed Ergonomic Generic;2022-02-14T14:08:05;B2B Operations
2;95679;32558;Plastic interface Buckinghamshire;2022-02-14T18:24:27;technologies Shoal
3;88872;20805;Gloves implementation;2022-02-14T14:10:16;Human
4;42395;9731;Chief;2022-02-15T01:15:47;Gloves HDD Gorgeous
5;10069;60994;Estate;2022-02-15T09:56:26;Metal parallelism
6;20812;87183;solid deposit input;2022-02-15T06:26:58;Branding
7;56125;43198;JSON;2022-02-15T10:49:45;Bike Granite
8;60168;5434;Cambridgeshire;2022-02-15T10:20:33;Sausages Plastic Enhanced
9;37156;92735;Fresh Locks secondary;2022-02-14T17:29:57;network
10;30515;68441;Games Saint Manager;2022-02-14T11:52:21;Licensed Georgia
