id;name;deleted;lgd_code;last_modified;last_modified_by
1;salmon;true;57211;2022-02-14T23:33:44;Avon
2;black Polarised;false;49800;2022-02-14T16:28:07;Fresh Chad
3;Borders transmitter;true;61905;2022-02-14T23:39:02;Auto conglomeration benchmark
4;Romania Mayen Streamlined;false;80355;2022-02-15T06:05:41;global Games
5;forecast;true;34875;2022-02-15T08:15:24;SAS Factors leading-edge
6;core Architect withdrawal;true;89219;2022-02-15T04:57:37;bluetooth
7;Jewelery process;true;6655;2022-02-15T01:05:56;Producer
8;Soft;false;85927;2022-02-15T11:31:54;transmitting Union Configuration
9;matrix;false;59886;2022-02-14T17:54:10;next-generation optical software
10;Liberia Soft Plastic;true;75824;2022-02-15T11:27:05;Forward mesh infrastructures
