id;name;deleted;lgd_code;last_modified;last_modified_by
1;lavender Metal interfaces;false;23796;2022-02-14T19:08:59;Kip Account
2;Fish Legacy;true;81173;2022-02-14T15:49:35;customized Account Integrated
3;aggregate Awesome Fish;false;90604;2022-02-14T18:06:57;bypass copy Profound
4;Cotton Avon;true;51306;2022-02-14T12:17:11;monitor navigating programming
5;Hat Coordinator Technician;true;44105;2022-02-15T02:45:15;Cambridgeshire extend
6;interface Personal Netherlands;true;47222;2022-02-14T21:59:43;Arizona matrix
7;mobile Officer Marino;true;48117;2022-02-14T18:16:20;Distributed Tasty deposit
8;SDD primary;true;81991;2022-02-15T02:41:00;Pre-emptive
9;Keyboard;false;89331;2022-02-15T00:22:18;invoice Seamless indigo
10;payment Health;false;90414;2022-02-14T17:22:05;internet Handcrafted Small
