id;stock_req;stock_provided;status;comment;last_modified;last_modified_by
1;85813;63568;CANCELLED;Fantastic yellow 24/365;2022-02-14T12:23:37;Krona purple Licensed
2;36011;97633;OPEN;1080p;2022-02-15T05:19:59;Rubber back-end Washington
3;31162;38192;OPEN;Central;2022-02-14T14:32:15;Rwanda
4;77819;89440;TRANSIT;content interface;2022-02-14T17:58:59;withdrawal
5;40948;76510;OPEN;B2B Mountains Islands;2022-02-14T14:55:06;Licensed leading-edge
6;61868;20588;TRANSIT;global;2022-02-15T11:45:43;magenta Bedfordshire
7;38234;41152;TRANSIT;JBOD killer;2022-02-14T22:44:53;capacity Beauty invoice
8;23662;65693;CANCELLED;Roads;2022-02-15T01:50:23;Electronics applications
9;80390;58761;RECEIVED;Incredible platforms;2022-02-14T14:55:50;Outdoors seize Rubber
10;36417;16909;OPEN;virtual seamless;2022-02-15T03:16:45;Tenge
