id;stock_sent;stock_rec;comment;receiver_comment;status;created_date;created_by;last_modified;last_modified_by
1;66315;93707;background Fantastic;Handmade;RECEIVED;2022-02-14T21:10:21;TCP turn-key Focused;2022-02-14T17:17:20;deposit
2;79338;93390;blockchains;visualize;OPEN;2022-02-14T14:03:20;Poland Buckinghamshire payment;2022-02-14T14:05:08;maroon Fresh Triple-buffered
3;4963;45584;transitional HDD infrastructures;fuchsia Horizontal optical;TRANSIT;2022-02-15T04:07:14;tan Baby;2022-02-14T12:29:18;administration solid
4;83883;36606;withdrawal Forward;Guinea-Bissau definition;TRANSIT;2022-02-14T20:16:08;maroon;2022-02-15T07:51:44;Directives transition
5;15777;89780;user-facing Internal Dinar;navigate;RECEIVED;2022-02-14T16:24:32;Director;2022-02-14T20:45:10;bus Cheese
6;15838;31479;PNG;platforms initiatives;OPEN;2022-02-14T16:33:02;encoding Barbados bandwidth;2022-02-15T10:25:15;Developer
7;40959;78002;architecture fuchsia;Direct;TRANSIT;2022-02-14T19:13:21;Borders 6th purple;2022-02-14T17:36:15;Arkansas efficient Gorgeous
8;26114;4714;24/365 Ball;Unbranded;RECEIVED;2022-02-15T10:39:19;ivory backing AGP;2022-02-14T20:03:24;Ergonomic Tuna
9;67008;48291;benchmark;application grey;RECEIVED;2022-02-14T19:59:42;Georgia salmon;2022-02-15T03:46:24;application
10;77320;75369;GB withdrawal;SCSI;RECEIVED;2022-02-14T14:30:26;withdrawal navigate withdrawal;2022-02-15T06:14:08;payment intermediate
